0
0.00580499
0.01161
0.017415
0.02322
0.0290249	98.1688
0.0348299	98.4528
0.0406349	98.3391
0.0464399	98.1121
0.0522449	98.2823
0.0580499	98.4528
0.0638549	98.2823
0.0696599	98.2255
0.0754649	98.5096
0.0812698	98.2823
0.0870748	97.9989
0.0928798	98.2255
0.0986848	98.5096
0.10449	98.2823
0.110295	98.2255
0.1161	98.2255
0.121905	98.1688
0.12771	98.0555
0.133515	98.2823
0.13932	98.4528
0.145125	98.3959
0.15093	98.2823
0.156735	98.3391
0.16254	98.3391
0.168345	98.3959
0.17415	98.4528
0.179955	98.3959
0.18576	98.3959	588.348
0.191565	98.3391	588.348
0.19737	98.2255	588.008
0.203175	98.2255	588.008
0.20898	98.2255	587.669
0.214785	98.3391	587.669
0.446984	98.3391	588.348	147.683
0.452789	98.3959	588.688	147.854
0.458594	98.3959	588.688	146.155
0.464399	98.1688	588.688	146.494
0.470204	98.5666	588.688	148.196
0.476009	98.4528	588.688	147.427
0.481814	98.2255	589.028	146.409
0.487619	98.4528	589.028	147.427
0.493424	98.5096	588.688	147.683
0.499229	98.4528	588.008	146.324
0.505034	98.1121	588.008	146.578
0.510839	98.3391	588.008	147.768
0.516644	98.2255	588.008	147.002
0.522449	98.3391	588.008	146.155
0.528254	98.3391	587.669	147.257
0.534059	98.1688	587.669	147.683
0.539864	98.1121	587.669	146.409
0.545669	97.9423	588.008	146.494
0.551474	98.3391	588.008	147.854
0.557279	98.3391	588.348	147.257
0.563084	98.3959	588.348	146.324
0.568889	98.3391	588.348	147.342
0.574694	98.5096	588.688	147.768
0.580499	98.2823	588.688	146.663
0.586304	98.2255	588.688	146.832
0.592109	98.5096	588.688	147.854
0.597914	98.3391	588.348	147.002
0.603719	98.3959	588.008	146.071
0.609524	98.2255	588.008	147.257
0.615329	98.4528	588.008	147.683
0.621134	98.1121	588.008	146.494
0.626939	97.9423	587.669	146.324
0.632744	98.2823	587.669	147.512
0.638549	98.2823	587.669	147.087
0.644354	98.2823	587.669	146.155
0.650159	98.0555	587.669	147.002
0.655964	98.1121	588.008	147.427
0.661769	98.2255	588.008	146.578
0.667574	98.1121	588.348	146.663
0.673379	98.4528	588.688	147.854
0.679184	98.4528	588.688	147.172
0.684989	98.4528	588.688	146.324
0.690794	98.2823	588.688	147.512
0.696599	98.5666	588.688	148.025
0.702404	98.3391	588.348	146.832
0.708209	98.1121	588.348	146.663
0.714014	98.3391	588.008	147.598
0.719819	98.3959	588.008	147.087
0.725624	98.3391	588.008	146.324
0.731429	98.0555	587.669	147.172
0.737234	98.3391	587.669	147.512
0.743039	98.1688	587.669	146.663
0.748844	98.0555	588.008	146.663
0.754649	98.4528	588.008	147.683
0.760454	98.5666	588.348	147.172
0.766258	98.0555	588.348	146.324
0.772063	98.1688	588.688	147.257
0.777868	98.5096	588.688	147.854
0.783673	98.3391	589.028	146.917
0.789478	98.0555	589.028	146.578
0.795283	98.5096	589.028	147.598
0.801088	98.6235	589.028	147.427
0.806893	98.3391	588.688	146.748
0.812698	98.2823	588.688	147.512
0.818503	98.5096	588.348	147.683
0.824308	98.2255	588.348	146.578
0.830113	98.2823	588.348	146.324
0.835918	98.2823	588.008	147.512
0.841723	98.4528	588.008	147.257
0.847528	97.9989	588.008	146.324
0.853333	98.1121	588.008	146.917
0.859138	98.1688	588.008	147.427
0.864943	98.3391	588.008	146.663
0.870748	98.2823	588.348	146.324
0.876553	98.1121	588.348	147.257
0.882358	98.3959	588.348	147.172
0.888163	98.3959	588.348	146.578
0.893968	98.1121	588.348	147.172
0.899773	98.2255	588.348	147.598
0.905578	98.3391	588.348	146.663
0.911383	98.2823	588.348	146.494
0.917188	98.2823	588.348	147.598
0.922993	98.5666	588.008	147.342
0.928798	98.0555	588.008	146.324
0.934603	97.8857	587.669	146.663
0.940408	98.3959	587.669	147.427
0.946213	98.3391	587.669	146.917
0.952018	98.2255	588.008	146.578
0.957823	98.1688	588.008	147.342
0.963628	98.5096	588.008	147.172
0.969433	98.0555	588.348	146.494
0.975238	98.0555	588.348	147.087
0.981043	98.5666	588.688	147.598
0.986848	98.4528	588.688	146.832
0.992653	98.2823	588.688	146.409
0.998458	98.2255	588.688	147.427
1.00426	98.6235	588.688	147.598
1.01007	98.1688	588.688	146.663
1.01587	98.0555	588.348	146.917
1.02168	98.2255	588.008	147.598
1.02748	98.5666	588.008	147.002
1.03329	97.9423	588.008	146.578
1.03909	98.1121	587.669	147.342
1.0449	98.3959	587.669	147.172
1.0507	98.2823	587.669	146.409
1.05651	98.1121	587.669	146.832
1.06231	98.3959	587.669	147.598
1.06812	98.4528	587.669	146.917
1.07392	97.9989	587.669	146.494
1.07973	98.2823	588.008	147.342
1.08553	98.7375	588.348	147.512
1.09134	98.2255	588.348	146.748
1.09714	98.2255	588.688	146.832
1.10295	98.3959	588.348	147.598
1.10875	98.4528	588.348	147.172
1.11456	98.3391	588.008	146.663
1.12036	98.2255	588.008	147.342
1.12617	98.6235	588.008	147.172
1.13197	98.1688	587.669	146.409
1.13778	97.7727	587.669	146.832
1.14358	98.2823	587.669	147.598
1.14939	98.2823	587.33	146.917
1.15519	98.1688	587.669	146.155
1.161	98.0555	587.669	147.002
1.1668	98.6805	587.669	147.427
1.17261	98.3959	588.008	146.917
1.17841	98.0555	588.008	147.002
1.18422	98.4528	588.348	147.598
1.19002	98.5096	588.348	147.002
1.19583	98.3959	588.688	146.578
1.20163	98.1688	588.688	147.427
1.20744	98.5666	588.688	147.427
1.21324	98.2255	588.688	146.663
1.21905	97.9423	588.688	146.917
1.22485	98.5096	588.688	147.683
1.23066	98.6235	588.688	147.172
1.23646	97.9423	588.348	146.409
1.24227	97.9989	588.008	147.087
1.24807	98.5096	588.008	147.427
1.25388	98.1688	587.669	146.832
1.25968	97.7162	587.669	146.832
1.26549	98.2255	587.669	147.342
1.27129	98.3391	587.669	146.832
1.2771	98.2823	588.008	146.324
1.2829	98.0555	588.348	147.172
1.28871	98.5666	588.348	147.342
1.29451	98.3391	588.688	146.748
1.30032	97.9423	589.028	146.917
1.30612	98.3959	589.028	147.512
1.31193	98.2823	588.688	146.409
1.31773	98.3391	588.688	145.482
1.32354	98.1121	588.688	146.832
1.32934	98.9088	588.688	147.768
1.33515	98.7946	588.348	147.512
1.34095	98.4528	588.348	147.598
1.34676	98.5096	588.348	147.939
1.35256	98.5096	588.348	147.172
1.35837	97.8857	588.008	146.324
1.36417	97.8857	588.008	146.832
1.36998	98.4528	588.008	147.002
1.37578	98.1688	587.669	146.494
1.38159	97.8857	587.669	146.494
1.38739	98.3391	587.669	147.342
1.3932	98.5666	588.008	147.427
1.399	98.1121	588.348	146.748
1.40481	98.0555	588.688	147.087
1.41061	98.5666	588.688	147.427
1.41642	98.3391	588.688	147.002
1.42222	97.9423	588.348	146.748
1.42803	98.2823	588.688	147.257
1.43383	98.5096	588.688	147.342
1.43964	98.1688	588.688	146.832
1.44544	98.1688	588.348	147.172
1.45125	98.6235	588.008	147.512
1.45705	98.2255	588.008	146.832
1.46286	98.1121	588.008	146.155
1.46866	98.1121	588.008	146.748
1.47447	98.5096	588.008	147.257
1.48027	98.0555	588.008	146.748
1.48608	97.9989	588.008	146.832
1.49188	98.5666	588.348	147.257
1.49769	98.3959	588.348	147.257
1.50349	98.0555	588.688	146.832
1.5093	98.3391	588.688	147.257
1.5151	98.5666	588.688	147.342
1.52091	98.1121	588.688	146.663
1.52671	97.9423	588.688	146.748
1.53252	98.5666	588.348	147.512
1.53832	98.4528	588.348	147.598
1.54413	97.9989	588.348	146.917
1.54993	98.2255	588.348	147.087
1.55574	98.5666	588.008	147.512
1.56154	98.1121	588.008	146.917
1.56735	97.9423	588.008	146.832
1.57315	98.4528	588.008	147.172
1.57896	98.2823	588.008	147.087
1.58476	97.8857	588.008	146.494
1.59057	98.1688	588.008	146.832
1.59637	98.6235	588.008	147.427
1.60218	98.1121	588.008	147.002
1.60798	97.9423	588.348	146.748
1.61379	98.5666	588.348	147.342
1.61959	98.5096	588.348	147.598
1.6254	97.9989	588.688	146.832
1.6312	98.1688	588.348	146.832
1.63701	98.5096	588.008	147.427
1.64281	98.0555	588.008	147.002
1.64862	97.8292	587.669	146.663
1.65442	98.3959	587.669	147.087
1.66023	98.3391	587.33	147.257
1.66603	97.9423	587.669	146.578
1.67184	98.2255	587.669	146.663
1.67764	98.5666	587.669	147.342
1.68345	98.0555	587.669	146.832
1.68925	97.7162	587.669	146.409
1.69506	98.2823	588.008	147.172
1.70086	98.2823	588.008	147.768
1.70667	97.9423	588.348	146.917
1.71247	98.2823	588.348	146.663
1.71828	98.6805	588.348	147.342
1.72408	98.3391	588.008	147.172
1.72989	97.9989	588.008	146.748
1.73569	98.4528	588.008	147.172
1.7415	98.3959	588.348	147.598
1.7473	97.9423	588.348	146.748
1.75311	98.1121	588.008	146.578
1.75891	98.6235	588.008	147.512
1.76472	98.2255	587.669	147.257
1.77052	97.8857	587.33	146.409
1.77633	98.3391	587.33	146.832
1.78213	98.3391	587.669	147.427
1.78794	97.8292	588.008	146.578
1.79374	97.8857	588.008	146.24
1.79955	98.4528	588.008	147.342
1.80535	98.1688	588.348	147.512
1.81116	97.9989	588.688	146.748
1.81696	98.5096	588.688	147.172
1.82277	98.5666	589.028	147.854
1.82857	98.1121	588.688	146.917
1.83438	98.2255	588.688	146.409
1.84018	98.6805	588.688	147.427
1.84599	98.2823	588.688	147.427
1.85179	97.8857	588.688	146.409
1.8576	98.3391	588.688	146.748
1.8634	98.4528	588.348	147.598
1.86921	97.9989	588.008	146.832
1.87501	97.9423	587.669	146.324
1.88082	98.3959	587.669	147.257
1.88662	98.1121	587.669	147.427
1.89243	97.8292	588.008	146.494
1.89823	98.3391	588.008	146.663
1.90404	98.4528	588.008	147.598
1.90984	97.9989	588.008	146.832
1.91565	97.9989	588.348	146.24
1.92145	98.5666	588.688	147.427
1.92726	98.3959	589.028	147.854
1.93306	98.0555	589.028	146.578
1.93887	98.5096	589.028	146.748
1.94467	98.6235	589.028	147.768
1.95048	98.1688	588.688	147.172
1.95628	98.0555	588.688	146.409
1.96209	98.4528	588.348	147.257
1.96789	98.1688	588.348	147.427
1.9737	97.7727	588.008	146.324
1.9795	98.2823	587.669	146.409
1.98531	98.5096	587.669	147.598
1.99111	98.1121	587.669	146.917
1.99692	97.9989	588.008	146.071
2.00272	98.5096	588.008	147.257
2.00853	98.2255	588.008	147.683
2.01433	97.7727	588.008	146.409
2.02014	98.1688	588.008	146.409
2.02594	98.7375	588.008	149.485
2.03175	99.4243	587.33	151.923
2.03755	99.2522	586.99	153.866	144.06
2.04336	99.3669	586.651	150.699	149.14
2.04916	98.5666	586.651	151.397	150.178
2.05497	98.6235	587.33	149.313	149.572
2.06077	98.6235	588.008	148.196	148.11
2.06658	98.9088	588.348	147.257	147.087
2.07238	98.3959	588.348	147.002	146.917
2.07819	98.0555	588.008	147.427	147.002
2.08399	98.9659	588.008	147.257	146.917
2.0898	98.3959	587.669	146.663	146.748
2.0956	97.4907	587.33	146.832	146.748
2.10141	97.8292	587.33	147.427	147.087
2.10721	98.5096	587.669	147.002	147.087
2.11302	98.2255	588.348	146.578	146.832
2.11882	97.7727	588.688	147.002
2.12463	98.9088	588.348	147.257
2.13043	98.5096	588.348	146.917
2.13624	97.5471	588.008	147.002
2.14204	98.0555	588.348	147.257
2.14785	98.8516	588.348	147.087
2.15365	98.4528	588.688	147.087
2.15946	97.9423	589.709	147.087
2.16526	99.0803	588.688	147.257
2.17107	98.4528	588.688	146.832
2.17687	97.4907	588.008	146.917
2.18268	98.1121	588.008	147.002
2.18848	98.7946	588.008	147.002
2.19429	98.2823	588.008	146.917
2.20009	97.7162	588.008	147.002
2.2059	98.9659	588.008	147.257
2.2117	98.1121	587.669	146.917
2.21751	97.5471	588.008	147.002
2.22331	98.0555	587.669	147.172
2.22912	98.7946	588.008	147.087
2.23492	98.3959	588.348	146.917
2.24073	97.8857	588.348	147.087
2.24653	98.9088	588.348	147.342
2.25234	98.2255	588.008	147.087
2.25814	97.8292	588.348	147.087
2.26395	98.1688	588.688	147.342
2.26975	98.9088	588.348	147.002
2.27556	98.3391	588.688	147.002
2.28136	97.7162	588.348	147.002
2.28717	98.7946	586.99	147.087
2.29297	98.4528	587.33	146.917
2.29878	97.9989	587.33	146.748
2.30458	97.8292	587.33	146.917
2.31039	98.9088	588.348	147.002
2.31619	98.3391	588.348	147.002
2.322	97.7162	588.008	147.172
2.3278	98.8516	587.669	147.342
2.33361	98.5666	588.008	146.917
2.33941	98.3391	587.33	146.409
2.34522	99.1948	593.125	146.24
2.35102	100.232	591.073	146.324
2.35683	98.2823	591.073	146.917
2.36263	98.9659	587.33	147.427	312.027
2.36844	98.8516	585.974	147.342	295.707
2.37424	97.6598	586.313	147.002	295.025
2.38005	98.4528	590.391	146.917	293.495
2.38585	99.5392	591.073	146.494	293.834
2.39166	99.1376	588.348	145.734	294.004
2.39746	98.6805	585.974	144.644	294.684	389.963
2.40327	98.9088	584.96	146.832	294.684	390.414
2.40907	99.4817	584.622	147.342	293.495	391.317
2.41488	98.0555	585.974	147.087	293.495	391.995
2.42068	98.3391	586.651	146.409	293.326	392.449
2.42649	98.9088	587.33	146.578	293.665	392.675
2.43229	98.6805	588.348	147.683	293.834	393.129
2.4381	98.7946	594.841	146.832	294.514	393.129
2.4439	98.8516	590.391	146.748	294.004	392.222
2.44971	99.1376	587.33	147.257	294.174	393.811	497.319
2.45551	98.3391	584.284	148.281	294.174	392.902	496.171
2.46132	97.5471	585.636	146.578	294.344	392.675	496.171
2.46712	98.5096	586.99	147.342	294.174	392.675	496.171
2.47293	98.1688	592.783	147.683	294.514	392.675	494.454
2.47873	98.1121	596.217	147.002	295.537	391.995	495.598
2.48454	97.8857	575.575	148.11	294.344	392.902	495.026
2.49034	98.7375	565.034	147.512	295.025	399.77	501.067	606.638
2.49615	98.3959	147.002	290.459	391.995	494.454	596.906
2.50195	98.6235	146.24	292.818	392.449	495.884	584.96
2.50776	98.7946	147.257	295.195	392.449	494.169	585.974
2.51356	98.5666	147.768	293.326	392.902	493.883	586.99
2.51937	98.5096	146.748	294.174	392.675	493.598	587.669
2.52517	97.8857	146.324	292.987	391.995	494.454	586.651
2.53098	97.3782	146.917	293.156	391.543	493.598	588.008
2.53678	98.3391	146.832	294.174	391.769	493.598	587.669
2.54258	97.5471	146.578	295.025	392.222	495.884	588.348
2.54839	98.2823	147.512	294.684	392.902	494.454	588.008
2.55419	97.9989	147.768	294.684	393.584	494.169	588.008
2.56	98.3391	146.748	295.025	393.356	495.312	588.688
2.5658	98.0555	146.748	293.834	391.769	495.026	588.348
2.57161	97.9989	147.342	294.174	391.543	493.883	588.348
2.57741	98.3959	147.257	294.684	392.449	495.026	588.688
2.58322	98.3391	146.578	294.684	393.129	494.74	589.028
2.58902	98.4528	147.257	294.174	392.449	493.883	588.688
2.59483	98.2823	147.598	294.004	392.902	495.026	587.669
2.60063	98.2823	146.832	294.344	392.449	495.026	588.008
2.60644	97.9989	146.748	293.495	391.769	493.598	587.33
2.61224	97.9989	147.427	294.004	391.317	494.169	587.669
2.61805	98.2255	147.257	294.514	391.317	494.74	587.669
2.62385	98.3391	146.663	294.004	391.091	493.313	587.669
2.62966	98.5666	147.002	293.834	391.769	495.026	587.669
2.63546	97.9423	147.427	294.174	392.675	494.454	588.008
2.64127	97.9989	146.832	294.004	392.449	494.169	588.008
2.64707	98.4528	146.832	294.174	392.222	494.74	588.348
2.65288	98.5666	147.683	294.514	391.995	495.312	588.688
2.65868	98.3391	147.512	294.684	391.543	494.169	588.688
2.66449	98.5666	146.663	294.514	391.769	495.026	588.688
2.67029	98.6235	147.002	294.174	392.902	495.312	589.028
2.6761	98.1688	147.512	294.514	393.129	494.74	588.688
2.6819	98.2255	146.917	294.855	392.902	495.598	588.688
2.68771	98.2823	146.748	294.174	392.675	495.312	588.688
2.69351	98.2255	147.427	294.344	392.222	494.169	588.688
2.69932	98.2255	147.172	294.174	391.317	494.74	588.348
2.70512	98.3391	146.409	293.834	391.317	495.312	587.669
2.71093	98.3391	147.002	294.004	392.222	493.883	588.008
2.71673	98.0555	147.512	294.174	392.902	494.169	588.008
2.72254	98.1121	146.832	294.344	392.675	493.883	588.348
2.72834	98.2255	146.748	294.004	392.449	494.454	588.008
2.73415	98.2255	147.427	294.344	391.769	495.312	588.008
2.73995	98.3959	147.342	294.344	391.543	494.74	588.008
2.74576	98.5096	146.578	294.174	392.222	494.74	588.688
2.75156	98.4528	147.087	294.174	391.769	494.74	588.348
2.75737	98.2823	147.768	294.855	393.129	495.026	589.369
2.76317	98.2823	147.087	294.684	393.356	494.454	588.688
2.76898	98.5666	146.832	294.514	392.902	495.026	588.688
2.77478	98.3391	147.512	294.344	391.995	495.312	588.688
2.78059	98.4528	147.427	294.344	391.995	495.598	588.008
2.78639	98.5096	146.663	294.514	391.995	494.74	589.028
2.7922	98.3959	147.087	294.344	392.222	495.026	588.688
2.798	98.2255	147.598	294.514	393.129	495.026	588.348
2.80381	98.2823	146.917	294.344	392.675	494.169	588.008
2.80961	98.3959	146.663	294.174	392.449	494.454	588.348
2.81542	98.2255	147.257	294.004	391.769	494.454	587.669
2.82122	98.3391	147.257	294.174	391.543	494.454	588.348
2.82703	98.3391	146.494	294.004	391.091	494.454	588.008
2.83283	98.2823	146.917	294.004	391.995	495.026	588.008
2.83864	98.0555	147.512	293.834	392.902	493.883	588.008
2.84444	98.2255	147.002	293.834	392.902	494.454	587.669
2.85025	98.3959	146.748	294.174	392.675	494.454	588.008
2.85605	98.2823	147.427	294.174	392.222	588.348
2.86186	98.4528	147.427	294.514	391.543	588.688
2.86766	98.4528	146.748	294.174	391.769	588.688
2.87347	98.2823	147.172	294.344	392.449	588.688
2.87927	98.1688	147.598	294.174	393.129	588.348
2.88508	98.2255	147.087	393.129	588.348
2.89088	98.3959	146.748	392.675	588.348
2.89669	98.2255	147.257	391.995	588.348
2.90249	98.1688	147.172	390.865	588.008
2.9083	98.3391	146.494	391.091	587.669
2.9141	98.2255	146.917	391.769	587.33
2.91991	98.1688	147.342	392.902	587.669
2.92571	98.5666	147.002	391.995	586.651
2.93152	98.6805	146.578	391.995	586.313
2.93732	98.3959	147.087	392.222	586.99	530.555
2.94313	98.0555	147.172	392.222	588.008	532.09
2.94893	97.6034	146.578	391.769	588.688	525.978
2.95474	98.2823	147.257	392.222	589.369	527.5
2.96054	98.1688	147.683	392.902	588.008	517.54
2.96635	98.3391	147.087	393.356	590.05	515.749
2.97215	98.3959	146.748	393.129	588.008	516.942
2.97796	98.2255	147.342	391.769	587.33	525.675
2.98376	97.9423	147.683	391.995	588.688	521.742
2.98957	97.9989	146.917	391.769	588.008	525.978
2.99537	98.1688	147.172	391.769	589.028	518.438
3.00118	98.9088	147.512	393.356	588.348	515.749
3.00698	98.2255	146.832	392.902	587.33	519.337
3.01279	98.2255	146.409	391.995	587.669	522.345
3.01859	97.7162	146.832	391.091	586.99	524.159
3.0244	97.9989	147.257	390.639	586.99	523.856
3.0302	98.1688	146.494	588.008	517.54
3.03601	97.8857	147.002	586.651	514.262
3.04181	98.0555	147.512	587.669	519.037
3.04762	97.9423	147.002	588.348	522.044
3.05342	97.7162	146.578	587.669	525.371
3.05923	98.3391	147.257	589.028	523.856
3.06503	97.9989	147.512	588.348	517.241
3.07084	98.3391	146.832	587.33	516.047
3.07664	98.2255	147.087	589.369	521.14
3.08245	97.7727	147.342	588.008	525.371
3.08825	97.9989	147.172	588.008	524.461
3.09406	98.4528	146.409	589.028	522.949
3.09986	98.2255	147.257	587.669	517.241
3.10567	98.3959	147.512	588.688	516.644
3.11147	98.3959	146.578	587.33	521.441
3.11728	97.7727	147.002	586.99	524.765
3.12308	98.1688	147.512	588.348	531.783
3.12889	98.3391	147.002	587.33	520.538
3.13469	98.1688	146.324	588.008	515.154
3.1405	98.0555	147.002	587.33	516.942
3.1463	98.2823	146.917	586.651	522.345
3.15211	97.8292	146.663	587.669	522.345
3.15791	98.0555	146.832	588.008	529.637
3.16372	98.1121	147.257	587.33	519.937
3.16952	98.4528	146.832	589.028	515.452
3.17533	98.0555	146.578	588.008	517.839
3.18113	98.3959	147.598	588.348	524.461
3.18694	97.7727	147.427	588.348	522.345
3.19274	98.3959	146.832	587.669	528.109
3.19855	98.2823	147.002	588.348	519.337
3.20435	98.2823	147.512	588.688	516.047
3.21016	98.3391	147.342	587.669	516.644
3.21596	98.3959	146.409	588.348	526.891
3.22177	97.7727	147.002	587.33	523.553
3.22757	98.0555	147.172	587.669	525.371
3.23338	98.2823	146.663	588.348	518.438
3.23918	98.1688	147.002	586.99	515.749
3.24499	98.2255	147.512	587.669	518.438
3.25079	98.0555	147.087	588.008	522.647
3.2566	97.7727	146.494	586.99	524.765
3.2624	98.2823	146.917	588.348	524.461
3.26821	97.9989	147.257	587.669	517.54
3.27401	98.1688	146.748	587.669	516.047
3.27982	98.3391	146.917	589.028	520.237
3.28562	98.1121	147.512	588.008	525.068
3.29143	98.0555	147.172	588.008	524.461
3.29723	98.3959	146.663	589.028	522.647
3.30304	98.0555	147.172	587.33	516.346
3.30884	97.9423	147.512	588.348	516.346
3.31465	98.3391	146.832	588.688	520.237
3.32045	97.8292	147.002	586.99	524.765
3.32626	97.7727	147.512	588.688	522.949
3.33206	98.5666	147.172	588.348	520.538
3.33787	98.0555	146.409	589.369	513.668
3.34367	98.3391	146.917	590.05	510.415	510.71
3.34948	97.9423	147.342	587.33	508.649	527.195
3.35528	98.2255	146.578	588.008	492.743	525.371
3.36109	98.2255	146.748	586.651	491.039	526.891
3.36689	98.0555	147.512	587.669	494.169	526.891
3.3727	98.2255	147.342	589.028	497.319	522.044
3.3785	98.2255	146.748	588.008	498.181	519.337
3.38431	97.8292	147.257	588.348	495.312	518.438
3.39011	97.9989	147.512	589.369	492.459	522.345
3.39592	98.1121	146.832	588.008	491.89	524.159
3.40172	98.1688	147.002	589.028	494.74	523.856
3.40753	98.3391	147.342	588.688	496.744	518.438
3.41333	98.5666	147.002	587.669	497.031	520.538
3.41914	98.2823	146.324	589.028	494.74	514.856
3.42494	97.9423	146.832	588.008	492.175	523.251
3.43075	97.9989	147.512	587.669	492.175	523.553
3.43655	98.2823	147.087	588.348	494.74	516.942
3.44236	98.3959	147.172	586.99	496.744	520.237
3.44816	98.3391	147.427	588.008	496.171	518.737
3.45397	98.3959	147.002	588.008	493.883	515.452
3.45977	98.1688	146.24	586.99	491.606	524.765
3.46558	97.9423	146.748	588.348	492.459	522.044
3.47138	98.2255	147.427	588.008	495.026	518.438
3.47719	98.6235	146.748	588.008	497.319	520.237
3.48299	98.5666	146.917	589.369	496.457	517.54
3.4888	98.2255	147.427	587.669	493.883	516.942
3.4946	98.2255	147.257	588.348	492.459	523.856
3.50041	98.3959	146.832	588.688	493.598	523.251
3.50621	98.3391	147.257	587.669	495.884	519.937
3.51202	98.5096	147.683	588.688	497.031	518.138
3.51782	98.5096	146.748	588.008	495.884	519.037
3.52363	98.1688	146.494	587.669	492.459	524.765
3.52943	97.9989	147.002	588.688	491.606	520.839
3.53524	98.1121	147.087	587.33	493.028	525.371
3.54104	98.2823	146.578	587.669	495.598	518.138
3.54685	98.3959	146.917	588.008	497.031	518.737
3.55265	98.2823	147.427	586.99	495.598	518.737
3.55846	98.1688	146.578	588.348	492.459	521.14
3.56426	98.1688	146.578	588.008	491.606	522.647
3.57007	98.2823	147.342	587.33	493.883	515.749
3.57587	98.7375	147.342	588.688	496.171	517.241
3.58168	98.7946	146.748	587.669	497.606	519.637
3.58748	98.3391	147.087	588.688	495.598	518.138
3.59329	98.1688	147.683	589.369	493.028	522.647
3.59909	98.2823	146.832	588.008	492.743	526.586
3.6049	98.4528	146.917	589.028	495.026	517.839
3.6107	98.5666	147.427	588.688	496.457	519.037
3.61651	98.9088	147.342	588.008	497.319	520.538
3.62231	98.5666	146.663	589.369	495.026	515.452
3.62812	98.0555	146.917	588.008	492.175	524.765
3.63392	98.0555	147.512	588.008	492.459	524.461
3.63973	98.4528	146.917	588.348	494.74	522.647
3.64553	98.5096	146.748	586.99	496.457	519.937
3.65134	98.3391	147.257	588.008	496.457	496.744
3.65714	98.5096	147.172	588.008	494.169	516.346
3.66295	97.9989	146.578	587.33	491.322	524.765
3.66875	97.9989	146.917	588.688	492.743	521.14
3.67456	98.3391	147.598	588.008	494.74	519.037
3.68036	98.6235	146.748	588.008	496.744	497.606
3.68617	98.6235	146.663	589.028	496.744	517.54
3.69197	98.3391	147.257	587.669	494.74	525.371
3.69778	98.2823	147.427	588.688	492.743
3.70358	98.2823	147.002	588.688	493.598
3.70939	98.3391	147.342	588.008	495.598
3.71519	98.5666	147.768	589.369	496.744
3.721	98.6235	146.917	588.008	496.171
3.7268	98.3959	146.663	588.008	494.169
3.73261	98.1121	147.087	588.688	492.459
3.73841	98.1688	146.917	586.99	493.028
3.74422	98.4528	146.24	587.33	495.026
3.75002	98.5096	146.409	587.33	497.606
3.75583	98.3959	147.342	586.651	496.744	393.811
3.76163	98.5096	147.002	588.348	493.313	392.449
3.76744	98.2255	146.832	588.008	490.472	392.222
3.77324	98.0555	146.917	587.669	494.169	391.769
3.77905	98.3959	147.087	588.688	495.312	392.449
3.78485	98.6805	147.087	587.33	496.744	392.675
3.79066	98.3959	147.172	588.348	495.312	392.222
3.79646	98.4528	147.939	589.028	493.313	392.449
3.80227	98.3959	147.087	588.008	392.449
3.80807	98.3959	146.748	589.028	392.449
3.81388	98.5096	147.002	588.348	392.902
3.81968	98.5666	146.917	588.008	392.902
3.82549	98.5096	146.578	589.369	392.449
